Code Prefix,Code,Category,Sex,Age,2006,2011,2016
T03,T03-1,Social Marital Status,Persons,35 - 39,936,1341,1465
T03,T03-2,Social Marital Status,Males,35 - 39,151,160,201
T03,T03-2,Social Marital Status,Females,35 - 39,138,158,196
T03,T03-2,Social Marital Status,Persons,35 - 39,290,315,390
T03,T03-3,Social Marital Status,Males,35 - 39,377,367,394
T03,T03-3,Social Marital Status,Females,35 - 39,338,349,300
T03,T03-3,Social Marital Status,Persons,35 - 39,712,721,692
T03,T03-TOT,Social Marital Status,Males,40 - 44,801,988,973
T03,T03-TOT,Social Marital Status,Females,40 - 44,773,929,985
T03,T03-TOT,Social Marital Status,Persons,40 - 44,1576,1914,1963
T03,T03-1,Social Marital Status,Males,40 - 44,388,522,569
T03,T03-1,Social Marital Status,Females,40 - 44,391,536,564
T03,T03-1,Social Marital Status,Persons,40 - 44,784,1055,1139
T03,T03-2,Social Marital Status,Males,40 - 44,91,127,120
T03,T03-2,Social Marital Status,Females,40 - 44,93,118,128
T03,T03-2,Social Marital Status,Persons,40 - 44,180,242,248
T03,T03-3,Social Marital Status,Males,40 - 44,320,336,287
T03,T03-3,Social Marital Status,Females,40 - 44,290,273,296
T03,T03-3,Social Marital Status,Persons,40 - 44,617,610,580
T03,T03-TOT,Social Marital Status,Males,45 - 49,767,854,871
T03,T03-TOT,Social Marital Status,Females,45 - 49,725,824,892
T03,T03-TOT,Social Marital Status,Persons,45 - 49,1487,1679,1757
T03,T03-1,Social Marital Status,Males,45 - 49,339,418,453
T03,T03-1,Social Marital Status,Females,45 - 49,347,427,473
T03,T03-1,Social Marital Status,Persons,45 - 49,689,850,921
T03,T03-2,Social Marital Status,Males,45 - 49,78,97,117
T03,T03-2,Social Marital Status,Females,45 - 49,61,84,114
T03,T03-2,Social Marital Status,Persons,45 - 49,136,184,236
T03,T03-3,Social Marital Status,Males,45 - 49,346,335,306
T03,T03-3,Social Marital Status,Females,45 - 49,311,309,300
T03,T03-3,Social Marital Status,Persons,45 - 49,660,644,607
T03,T03-TOT,Social Marital Status,Males,50 - 54,671,786,807
T03,T03-TOT,Social Marital Status,Females,50 - 54,717,747,836
T03,T03-TOT,Social Marital Status,Persons,50 - 54,1385,1528,1645
T03,T03-1,Social Marital Status,Males,50 - 54,354,405,411
T03,T03-1,Social Marital Status,Females,50 - 54,333,361,404
T03,T03-1,Social Marital Status,Persons,50 - 54,685,762,814
T03,T03-2,Social Marital Status,Males,50 - 54,67,76,96
T03,T03-2,Social Marital Status,Females,50 - 54,67,65,90
T03,T03-2,Social Marital Status,Persons,50 - 54,133,147,183
T03,T03-3,Social Marital Status,Males,50 - 54,255,302,298
T03,T03-3,Social Marital Status,Females,50 - 54,321,318,350
T03,T03-3,Social Marital Status,Persons,50 - 54,572,623,645
T04,T04-TOT,Indigenous Status,Males,0 - 4,722,921,992
T04,T04-TOT,Indigenous Status,Females,0 - 4,709,921,1047
T04,T04-TOT,Indigenous Status,Persons,0 - 4,1433,1840,2037
T04,T04-1,Indigenous Status,Males,0 - 4,645,838,913
T04,T04-1,Indigenous Status,Females,0 - 4,637,846,967
T04,T04-1,Indigenous Status,Persons,0 - 4,1285,1682,1888
T04,T04-2,Indigenous Status,Males,0 - 4,23,25,14
T04,T04-2,Indigenous Status,Females,5 - 9,23,20,19
T04,T04-2,Indigenous Status,Females,0 - 4,21,27,23
T04,T04-2,Indigenous Status,Males,10 - 14,21,27,28
T04,T04-2,Indigenous Status,Persons,0 - 4,42,55,37
T04,T04-3,Indigenous Status,Males,0 - 4,0,0,0
T04,T04-3,Indigenous Status,Females,0 - 4,0,0,0
T04,T04-3,Indigenous Status,Persons,0 - 4,0,0,0
T04,T04-3,Indigenous Status,Males,5 - 9,0,0,0
T04,T04-3,Indigenous Status,Females,5 - 9,0,0,0
T04,T04-3,Indigenous Status,Persons,5 - 9,0,0,0
T04,T04-3,Indigenous Status,Males,10 - 14,0,0,0
T04,T04-3,Indigenous Status,Females,10 - 14,0,0,0
T04,T04-3,Indigenous Status,Persons,10 - 14,0,0,0
T04,T04-3,Indigenous Status,Males,15 - 19,0,0,0
T04,T04-3,Indigenous Status,Females,15 - 19,0,0,0
T04,T04-3,Indigenous Status,Persons,15 - 19,0,0,0
T04,T04-3,Indigenous Status,Males,20 - 24,0,0,0
